INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location,_id,CATEGORY
212012996,1102,FRAUD - FALSE PRETENSE / SCHEME,B2,259,0,2020-01-01 00:00:00,2020,1,Wednesday,0,ALEXANDER ST,42.3169424347871,-71.0699121273113,"(42.3169424347871, -71.0699121273113)",,fraud_crimes
212008096,1107,FRAUD - IMPERSONATION,A1,118,0,2020-01-01 00:00:00,2020,1,Wednesday,0,BOYLSTON ST,42.3524181472861,-71.0652549858121,"(42.3524181472861, -71.0652549858121)",,fraud_crimes
202007210,1001,FORGERY / COUNTERFEITING,C6,200,0,2020-01-01 00:00:00,2020,1,Wednesday,0,ORTON-MAROTTA WAY,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)",,fraud_crimes
202015883,1102,FRAUD - FALSE PRETENSE / SCHEME,B2,282,0,2020-01-01 00:00:00,2020,1,Wednesday,0,MALCOLM X BLVD,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)",,fraud_crimes
202065961,1107,FRAUD - IMPERSONATION,B3,465,0,2020-01-01 00:00:00,2020,1,Wednesday,0,ESMOND ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)",,fraud_crimes
202026005,1102,FRAUD - FALSE PRETENSE / SCHEME,B2,282,0,2020-01-01 00:00:00,2020,1,Wednesday,0,LANGDON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)",,fraud_crimes
202019597,1107,FRAUD - IMPERSONATION,B2,282,0,2020-01-01 00:00:00,2020,1,Wednesday,0,CARDINGTON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)",,fraud_crimes
202053084,1102,FRAUD - FALSE PRETENSE / SCHEME,B3,465,0,2020-01-01 09:00:00,2020,1,Wednesday,9,ASPINWALL RD,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)",,fraud_crimes
202041012,1102,FRAUD - FALSE PRETENSE / SCHEME,A15,77,0,2020-01-01 09:00:00,2020,1,Wednesday,9,MAIN ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)",,fraud_crimes
212006409,1108,FRAUD - WELFARE,D4,167,0,2020-01-01 09:00:00,2020,1,Wednesday,9,CHANDLER ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)",,fraud_crimes
202000178,1102,FRAUD - FALSE PRETENSE / SCHEME,D14,454,0,2020-01-01 09:59:00,2020,1,Wednesday,9,WINSHIP ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)",,fraud_crimes
202008889,1001,FORGERY / COUNTERFEITING,E5,691,0,2020-01-01 11:03:00,2020,1,Wednesday,11,MIAMI AVE,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)",,fraud_crimes
202030402,1106,FRAUD - CREDIT CARD / ATM FRAUD,C11,381,0,2020-01-01 12:00:00,2020,1,Wednesday,12,NEPONSET AVE,42.2867871164287,-71.0449173024135,"(42.2867871164287, -71.0449173024135)",,fraud_crimes
202065138,1107,FRAUD - IMPERSONATION,C6,200,0,2020-01-01 12:00:00,2020,1,Wednesday,12,COLUMBIA RD,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)",,fraud_crimes
202008051,1001,FORGERY / COUNTERFEITING,C6,200,0,2020-01-01 12:14:00,2020,1,Wednesday,12,OLD COLONY AVE,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)",,fraud_crimes
202005028,1102,FRAUD - FALSE PRETENSE / SCHEME,D14,778,0,2020-01-01 16:30:00,2020,1,Wednesday,16,N BEACON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)",,fraud_crimes
202000199,2632,EVADING FARE,A7,25,0,2020-01-01 17:13:00,2020,1,Wednesday,17,NAY ST,42.3831971954921,-71.0385992426521,"(42.3831971954921, -71.0385992426521)",,fraud_crimes
202038003,1106,FRAUD - CREDIT CARD / ATM FRAUD,B2,355,0,2020-01-02 09:00:00,2020,1,Thursday,9,CENTRE AVE,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)",,fraud_crimes
202000316,1107,FRAUD - IMPERSONATION,B2,282,0,2020-01-02 09:49:00,2020,1,Thursday,9,FERNBORO ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)",,fraud_crimes
202003577,1102,FRAUD - FALSE PRETENSE / SCHEME,B2,282,0,2020-01-02 10:30:00,2020,1,Thursday,10,WASHINGTON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)",,fraud_crimes
202000639,1102,FRAUD - FALSE PRETENSE / SCHEME,D4,167,0,2020-01-02 10:45:00,2020,1,Thursday,10,MASSACHUSETTS AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)",,fraud_crimes
202000713,1102,FRAUD - FALSE PRETENSE / SCHEME,B2,691,0,2020-01-02 11:25:00,2020,1,Thursday,11,CUNNINGHAM ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)",,fraud_crimes
202082053,1001,FORGERY / COUNTERFEITING,C6,200,0,2020-01-02 14:58:00,2020,1,Thursday,14,ORTON-MAROTTA WAY,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)",,fraud_crimes
202000423,1107,FRAUD - IMPERSONATION,C11,282,0,2020-01-02 15:49:00,2020,1,Thursday,15,DORCHESTER AVE,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)",,fraud_crimes
202000414,1102,FRAUD - FALSE PRETENSE / SCHEME,E13,282,0,2020-01-02 15:49:00,2020,1,Thursday,15,ASHLEY ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)",,fraud_crimes
202000450,2632,EVADING FARE,A1, ,0,2020-01-02 17:13:00,2020,1,Thursday,17,PARK PLZ,42.3501479814141,-71.0698980119709,"(42.3501479814141, -71.0698980119709)",,fraud_crimes
202000516,2604,EXTORTION OR BLACKMAIL,D14,454,0,2020-01-02 18:14:00,2020,1,Thursday,18,FRANKLIN ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)",,fraud_crimes
202000466,1106,FRAUD - CREDIT CARD / ATM FRAUD,D4,146,0,2020-01-02 18:15:00,2020,1,Thursday,18,COPLEY PL,42.3480097766119,-71.0766975998445,"(42.3480097766119, -71.0766975998445)",,fraud_crimes
202009545,1107,FRAUD - IMPERSONATION,E5,691,0,2020-01-03 00:00:00,2020,1,Friday,0,LAURIE AVE,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)",,fraud_crimes
